Team,ERA,W-L,G,CG,SHO/CBO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/Avg,WP,HBP,BK,SFA,SHA
Coppin State........,2.75,18-16,34,24,7/1,2,231.1,256,121,91,57,203,36,10,12,921,.278,14,16,1,4,21
Delaware State......,2.92,32-19,51,6,8/5,7,321.2,312,168,134,171,196,53,5,10,1236,.252,20,27,4,9,35
Florida A&M.........,3.62,26-25,52,30,8/1,2,322.2,360,215,167,112,182,59,11,17,1306,.276,30,24,0,9,30
Norfolk State.......,3.71,23-25,48,27,4/0,0,307.2,362,215,163,111,209,54,3,24,1258,.288,29,31,2,10,38
Bethune-Cookman.....,4.07,33-23,57,32,7/2,0,364.1,479,267,212,95,177,51,5,35,1553,.308,9,36,1,4,43
Howard..............,4.47,20-25,46,18,4/1,4,286.2,343,241,183,135,196,52,7,31,1197,.287,30,32,4,7,27
Morgan State........,4.69,15-27,43,24,2/0,1,270.0,385,252,181,110,136,72,9,24,1180,.326,12,11,1,9,31
South Carolina State,5.54,10-44,54,33,2/0,1,329.2,559,386,261,97,142,92,26,20,1542,.363,29,25,2,16,27
Hampton.............,6.57,13-35,48,22,1/0,2,285.2,435,382,268,200,135,52,6,37,1271,.342,43,52,4,15,30
Maryland E. Shore...,7.15,7-40,47,30,0/0,0,286.0,479,414,292,133,106,94,24,33,1324,.362,31,43,5,11,45
North Carolina A&T..,7.74,7-35,42,24,1/0,0,249.2,436,346,276,181,50,83,11,41,1164,.375,31,26,3,9,21
